ir_L,ir_R,degree
16.1,2.6,57.26
16.1,2.7,54.19
16.0,2.8,53.69
15.7,2.8,51.33
14.4,2.8,51.33
13.1,2.9,49.73
10.9,2.8,49.75
9.8,2.8,49.67
8.9,2.8,49.67
8.3,2.9,49.21
8.0,3.0,48.22
7.6,2.9,48.12
7.5,2.9,46.61
7.3,2.9,46.44
7.3,3.0,46.38
7.1,3.1,44.56
6.9,3.2,44.55
7.1,3.0,41.51
7.8,3.1,40.93
10.5,3.1,39.26
13.7,3.2,36.42
18.0,3.4,36.38
19.5,3.6,36.51
19.6,3.6,36.42
19.0,3.4,36.44
18.6,3.5,36.99
18.7,3.6,44.2
19.6,3.7,48.54
20.3,3.8,48.63
21.1,3.7,48.68
21.5,3.8,48.62
22.0,3.8,48.72
22.3,3.8,48.6
21.9,3.9,48.6
22.7,4.1,48.67
23.1,4.1,48.62
23.5,4.0,48.64
23.1,3.9,48.6
22.7,4.0,48.62
21.7,4.1,48.59
20.6,4.3,48.59
20.4,4.3,48.6
20.0,4.1,48.65
20.4,4.2,48.64
20.6,4.3,48.6
22.0,4.4,48.6
23.3,4.5,48.59
24.7,4.7,48.54
25.2,4.8,48.54
26.7,4.8,48.67
28.2,4.7,48.57
29.0,4.8,48.65
30.3,5.1,48.55
31.5,5.2,48.66
32.5,5.3,48.55
31.9,5.3,48.6
31.4,5.4,48.6
29.4,5.5,48.57
27.4,5.6,47.71
28.5,5.8,42.06
29.0,6.0,38.41
29.5,6.1,33.07
29.0,6.4,30.6
27.8,6.6,30.35
26.2,6.9,30.6
25.8,7.3,36.96
25.7,7.5,40.98
25.1,7.7,42.77
21.8,7.6,43.6
20.8,7.9,43.59
20.8,8.3,43.59
20.9,8.7,43.56
21.1,9.0,43.59
21.0,9.1,43.6
20.9,9.5,43.66
20.9,9.8,43.57
20.6,10.3,43.55
20.3,10.8,43.55
20.0,11.3,43.53
20.1,11.9,43.14
19.9,12.0,39.51
19.1,12.7,15.61
17.4,13.0,0.04
10.0,13.0,0.02
6.2,12.3,0.02
4.6,11.7,0.16
5.6,10.0,0.03
5.6,8.8,0.04
5.5,8.8,0.08
6.5,6.4,0.13
8.3,5.5,0.05
9.8,4.0,0.04
11.3,3.1,13.81
12.2,2.8,31.0
12.4,2.9,36.12
12.4,3.1,38.58
12.5,3.1,39.34
12.7,3.1,39.3
12.8,3.1,38.89
13.1,3.1,38.95
13.1,3.1,38.88
13.1,3.1,37.64
12.7,3.1,37.58
12.6,3.4,37.59
12.8,3.4,37.55
13.4,3.2,37.67
14.7,3.2,37.83
15.2,3.3,43.9
15.7,3.5,48.74
16.1,3.6,48.98
16.3,3.6,55.04
16.6,3.4,55.16
16.8,3.4,55.12
17.0,3.6,55.15
16.9,3.7,55.09
17.2,3.7,54.74
17.4,3.6,54.56
17.7,3.6,54.51
18.1,3.7,53.43
18.3,3.8,49.8
18.2,3.8,49.72
18.4,4.1,48.06
18.6,4.2,43.99
18.9,4.2,40.65
19.1,4.0,37.64
19.0,4.1,36.16
19.0,4.4,36.06
19.2,4.6,36.42
19.4,4.9,37.43
