ir1,ir2,degree,time
3.0,6.5,3,09:36:29.106655
3.1,6.5,3,09:36:29.133938
3.1,6.6,3,09:36:29.161387
3.1,6.6,3,09:36:29.188149
3.1,6.6,3,09:36:29.219647
3.1,6.6,3,09:36:29.249508
2.9,6.6,3,09:36:29.279943
2.9,6.8,3,09:36:29.309492
3.1,6.8,3,09:36:29.337055
3.1,6.9,4,09:36:29.364758
3.1,6.9,4,09:36:29.393503
3.0,6.9,4,09:36:29.425110
3.0,6.9,4,09:36:29.454947
2.8,6.7,4,09:36:29.485856
2.8,6.7,4,09:36:29.513376
3.1,7.1,4,09:36:29.540914
3.1,7.1,4,09:36:29.567542
3.1,7.1,4,09:36:29.594473
3.3,6.8,4,09:36:29.623642
3.3,6.8,4,09:36:29.650415
3.5,6.6,4,09:36:29.678111
3.5,6.6,4,09:36:29.705308
4.0,6.6,4,09:36:29.733617
4.0,6.3,4,09:36:29.760894
4.0,6.3,4,09:36:29.787950
4.3,5.8,4,09:36:29.817764
4.3,5.8,4,09:36:29.847950
4.5,5.2,4,09:36:29.880354
4.5,5.2,4,09:36:29.909189
5.1,5.2,4,09:36:29.935970
5.1,4.8,4,09:36:29.964157
5.1,4.8,4,09:36:29.991685
5.5,4.6,4,09:36:30.023039
5.9,4.6,4,09:36:30.055397
5.9,4.3,4,09:36:30.084995
5.9,4.3,4,09:36:30.113475
6.2,4.3,4,09:36:30.141224
6.2,4.3,4,09:36:30.167969
7.0,4.3,4,09:36:30.195264
7.0,4.0,4,09:36:30.225376
7.3,4.0,4,09:36:30.256579
7.3,3.9,4,09:36:30.285978
7.3,3.9,4,09:36:30.315566
7.6,4.2,4,09:36:30.343304
7.6,4.2,4,09:36:30.369720
8.3,4.2,4,09:36:30.398157
8.3,4.3,4,09:36:30.428357
8.5,4.3,4,09:36:30.457766
8.5,4.1,4,09:36:30.487013
8.5,4.1,4,09:36:30.515889
8.7,3.9,4,09:36:30.543205
8.7,3.9,4,09:36:30.570188
9.2,3.9,4,09:36:30.596956
9.2,3.5,4,09:36:30.627355
9.4,3.5,4,09:36:30.656380
9.4,3.1,4,09:36:30.685568
9.5,3.1,4,09:36:30.715218
9.5,2.8,4,09:36:30.742188
9.5,2.8,4,09:36:30.769042
9.8,2.8,4,09:36:30.796356
9.8,2.6,4,09:36:30.826458
10.0,2.6,4,09:36:30.855717
10.0,2.4,4,09:36:30.884729
10.0,2.4,4,09:36:30.914738
10.0,2.5,4,09:36:30.941668
10.0,2.5,4,09:36:30.968409
10.4,2.5,4,09:36:30.997613
10.4,2.7,4,09:36:31.027554
10.5,2.6,4,09:36:31.060042
10.5,2.6,4,09:36:31.089533
10.5,2.6,4,09:36:31.118662
10.5,2.7,4,09:36:31.145846
10.5,2.7,4,09:36:31.172726
10.8,3.0,4,09:36:31.199383
10.8,3.0,4,09:36:31.228801
10.8,3.0,4,09:36:31.259015
10.8,3.0,4,09:36:31.288276
10.7,3.0,3,09:36:31.317939
10.7,2.9,3,09:36:31.345364
10.7,2.9,3,09:36:31.373071
10.8,3.3,3,09:36:31.401426
10.8,3.3,3,09:36:31.431089
11.1,3.2,3,09:36:31.460659
11.1,3.2,3,09:36:31.490505
11.5,3.1,3,09:36:31.519922
11.5,3.1,3,09:36:31.546699
11.5,3.1,3,09:36:31.573758
12.5,3.3,3,09:36:31.601877
12.5,3.3,3,09:36:31.631681
13.5,3.2,3,09:36:31.662002
13.5,3.2,3,09:36:31.691659
13.8,3.2,3,09:36:31.720314
13.8,3.1,3,09:36:31.747721
14.7,3.1,3,09:36:31.775211
14.7,3.2,3,09:36:31.802758
14.7,3.2,3,09:36:31.832444
15.7,3.3,3,09:36:31.863540
15.7,3.3,3,09:36:31.892487
15.3,3.3,3,09:36:31.921633
15.3,3.1,3,09:36:31.948948
15.8,3.1,2,09:36:31.976434
15.8,3.3,2,09:36:32.003805
15.8,3.3,2,09:36:32.033561
15.7,3.3,2,09:36:32.068897
15.7,3.3,2,09:36:32.098253
16.2,3.3,2,09:36:32.125862
16.2,3.3,2,09:36:32.152461
16.4,3.3,2,09:36:32.179419
16.4,3.4,2,09:36:32.206621
17.6,3.4,2,09:36:32.234019
17.6,3.4,2,09:36:32.260708
17.6,3.4,2,09:36:32.287571
17.1,3.4,3,09:36:32.314855
17.1,3.4,3,09:36:32.341766
15.9,3.4,3,09:36:32.370495
15.9,3.5,3,09:36:32.397696
15.9,3.5,3,09:36:32.426808
15.6,3.7,3,09:36:32.456880
15.6,3.7,3,09:36:32.486307
15.0,3.5,3,09:36:32.516483
15.0,3.5,3,09:36:32.543097
14.6,3.5,3,09:36:32.570679
14.6,3.6,3,09:36:32.598289
14.6,3.6,3,09:36:32.626530
14.5,3.7,3,09:36:32.656852
14.5,3.7,3,09:36:32.686427
13.7,3.6,3,09:36:32.715316
13.7,3.6,3,09:36:32.742152
12.9,3.6,3,09:36:32.769047
12.9,3.5,3,09:36:32.796588
12.9,3.5,3,09:36:32.824302
12.3,3.8,3,09:36:32.854747
12.3,3.8,3,09:36:32.885271
11.9,3.7,3,09:36:32.915781
11.9,3.7,3,09:36:32.942534
11.4,3.6,3,09:36:32.969626
11.4,3.6,3,09:36:32.996686
11.2,3.6,3,09:36:33.024949
11.2,3.8,3,09:36:33.053669
11.2,3.8,3,09:36:33.080338
11.2,3.8,3,09:36:33.108813
11.2,3.9,3,09:36:33.139374
10.8,3.9,3,09:36:33.168364
10.8,3.7,3,09:36:33.198907
10.8,3.7,3,09:36:33.228307
10.8,3.9,3,09:36:33.254999
10.8,3.9,3,09:36:33.281937
10.8,3.9,3,09:36:33.309246
10.8,3.9,3,09:36:33.340893
10.6,3.8,3,09:36:33.371650
10.6,3.8,3,09:36:33.400774
10.6,3.8,3,09:36:33.429048
10.6,3.9,3,09:36:33.456430
10.6,3.9,3,09:36:33.483042
10.9,4.0,3,09:36:33.509927
10.9,4.0,3,09:36:33.539448
10.9,3.9,3,09:36:33.569083
10.9,3.9,3,09:36:33.598718
11.1,3.9,3,09:36:33.628514
11.1,4.0,3,09:36:33.655968
11.1,4.0,3,09:36:33.683405
11.6,4.1,3,09:36:33.711017
11.6,4.1,3,09:36:33.741361
12.4,4.1,3,09:36:33.771956
12.4,4.1,3,09:36:33.802681
13.2,4.1,3,09:36:33.831760
13.2,4.1,3,09:36:33.858893
13.7,4.1,3,09:36:33.886717
13.7,4.2,3,09:36:33.914054
13.7,4.2,3,09:36:33.944944
13.7,4.2,3,09:36:33.975364
13.7,4.2,3,09:36:34.004805
13.5,4.2,3,09:36:34.034509
13.5,4.2,3,09:36:34.061752
13.5,4.2,3,09:36:34.090339
13.5,4.4,3,09:36:34.118316
13.5,4.4,3,09:36:34.145531
13.7,4.3,3,09:36:34.174135
13.7,4.3,3,09:36:34.201645
13.8,4.3,3,09:36:34.229392
13.8,4.3,3,09:36:34.256829
13.5,4.3,3,09:36:34.283765
13.5,4.5,3,09:36:34.311418
13.5,4.5,3,09:36:34.345182
13.6,4.3,3,09:36:34.376000
13.6,4.3,3,09:36:34.406155
13.6,4.3,3,09:36:34.435166
13.6,4.3,3,09:36:34.462561
13.8,4.3,3,09:36:34.489649
13.8,4.6,3,09:36:34.517495
13.9,4.6,3,09:36:34.545184
