ir_L,ir_R,degree
2.3,10.8,31.77
2.3,11.0,31.56
2.3,10.7,26.87
2.3,10.6,26.88
2.3,9.8,26.87
2.2,9.6,26.9
2.4,8.9,26.92
2.3,8.3,26.91
2.1,7.8,26.98
2.1,7.7,26.94
2.2,7.3,26.93
2.2,6.7,27.01
2.2,6.3,26.93
2.2,5.8,26.97
2.1,5.7,26.95
2.1,5.4,27.06
2.2,5.1,26.95
2.1,5.0,26.92
2.1,5.1,26.96
2.2,5.1,26.95
2.2,5.4,26.88
2.3,5.5,14.54
2.3,5.4,10.51
2.2,5.7,3.55
2.2,6.2,3.5
2.3,7.0,3.43
2.3,7.3,3.66
2.3,8.0,3.53
2.4,8.7,12.51
2.5,9.6,24.5
2.7,10.3,24.55
2.8,10.3,24.44
3.0,10.8,21.98
2.9,11.3,14.85
3.0,11.8,12.32
3.2,11.7,10.7
3.4,11.7,6.57
3.3,11.0,6.43
3.3,11.9,6.52
3.3,12.4,7.34
3.3,11.5,27.12
3.3,10.6,27.51
3.2,10.4,27.62
3.2,10.2,27.55
3.2,10.0,27.42
3.2,9.7,9.74
3.3,9.4,3.79
3.1,8.6,0.1
2.9,7.3,0.05
2.8,6.5,0.11
2.7,5.8,0.1
2.5,5.4,0.03
2.3,5.3,0.03
2.0,4.7,0.09
1.9,4.5,0.03
1.9,5.1,0.05
2.0,5.1,0.06
1.9,5.5,0.15
2.1,6.6,0.03
2.3,10.6,0.22
2.4,11.7,0.2
2.6,12.4,0.03
2.7,12.3,0.05
2.7,11.8,0.06
3.4,11.5,0.13
4.5,10.4,42.9
5.7,9.8,52.71
5.4,10.1,55.45
5.1,10.3,55.51
4.9,10.6,55.45
4.6,10.6,55.45
4.6,10.8,55.46
4.3,11.1,55.43
4.1,11.5,55.49
3.9,11.8,55.45
3.9,11.8,55.47
3.7,12.1,55.44
3.5,12.3,55.43
3.4,12.9,55.48
3.3,13.1,55.34
3.3,13.3,53.7
3.2,13.5,51.27
3.0,14.2,49.64
2.9,14.3,46.89
2.9,15.0,40.97
2.8,15.3,33.64
2.7,15.5,28.54
2.7,15.4,27.05
2.8,15.4,25.62
2.9,15.7,25.67
3.1,15.7,37.58
3.2,15.6,44.92
3.0,15.9,46.73
2.9,16.4,46.74
2.9,16.7,46.74
2.8,17.4,46.72
2.8,17.9,46.76
2.7,18.7,46.74
2.6,19.6,46.7
2.6,20.6,46.71
2.7,21.0,45.45
2.6,22.1,40.7
2.6,22.9,40.27
2.6,23.5,34.25
2.6,23.8,34.0
2.8,24.4,33.95
2.8,24.3,33.94
2.6,24.2,34.01
2.6,24.6,33.99
2.7,24.9,33.99
2.7,24.4,34.06
2.6,24.5,34.25
2.6,25.0,34.27
2.7,25.4,35.76
