ir_L,ir_R,degree
8.2,22.4,15.72
9.1,22.4,15.56
9.8,23.3,15.7
11.5,23.3,15.67
12.6,22.5,20.49
13.8,18.7,31.5
15.1,18.0,44.05
16.4,19.4,45.79
16.6,20.5,49.13
16.8,21.1,51.62
16.8,21.5,51.51
17.0,21.5,51.36
16.9,21.4,51.38
16.8,21.8,51.2
16.9,22.0,51.05
16.8,21.3,50.98
16.8,21.9,48.81
16.4,21.7,48.23
15.9,21.6,48.27
15.6,21.0,48.29
15.1,20.3,48.11
14.3,19.0,47.14
12.9,18.4,47.15
11.7,17.9,46.3
9.6,17.6,45.27
8.2,18.6,44.4
6.5,19.9,44.14
5.4,21.9,43.06
4.4,22.1,42.66
3.8,21.2,41.41
3.3,20.8,41.52
2.9,21.1,41.59
2.6,21.8,41.45
2.6,22.1,38.53
2.6,22.2,37.01
2.6,22.3,34.54
2.4,22.4,33.49
2.4,22.0,32.31
2.4,21.3,29.88
2.5,20.2,29.8
2.4,19.4,28.21
2.4,18.8,25.71
2.4,16.6,25.75
2.4,14.8,25.77
2.6,12.8,25.8
2.7,11.7,25.77
2.5,10.3,25.8
2.7,9.2,25.7
2.9,8.1,25.86
3.1,7.4,25.68
3.1,6.6,23.92
3.4,6.4,23.74
3.5,5.8,23.8
3.6,5.2,23.77
3.7,4.8,23.82
4.0,4.6,23.79
4.1,5.7,21.27
4.5,7.0,9.53
4.7,9.9,2.09
5.2,12.5,0.15
5.5,16.0,0.02
6.4,17.9,0.03
6.8,19.5,0.14
7.6,21.1,0.2
9.1,21.2,6.28
9.5,21.7,8.91
11.4,21.4,24.03
12.7,20.6,26.66
13.6,20.4,33.86
13.8,19.6,36.81
14.6,19.2,36.87
16.5,18.7,38.71
21.6,18.3,41.5
25.5,18.1,48.78
27.1,18.1,61.57
24.4,18.3,61.78
16.8,18.4,61.76
15.7,18.4,61.75
19.1,18.4,61.75
23.9,18.5,56.38
26.4,18.2,55.82
26.9,18.2,55.84
25.9,18.2,55.83
27.6,18.3,55.83
31.8,18.3,55.85
37.8,18.2,55.99
